name,website,facebook,street,city,county,state,zip
SUGAR RIVER FARMERS MARKET,,,,MONTICELLO,Green,Wisconsin,
SUGARCREEK TOWNSHIP FARMERS' MARKET,http://www.sugarcreektownship.com/index.aspx?nid=199,,6134 Wilmington Pike,Dayton (Sugarcreek Township),Greene,Ohio,45459
Suitland Farmers' Market,http://www.suitlandonline.us/programs/the-suitland-farmers-market.html,https://www.facebook.com/SuitlandFarmersMarket,4508 Suitland Road,Suitland,Prince George's,Maryland,20746
Sullivan Farmers' Market,http://www.sullivanmochamber.com,,305 Fisher Drive,Sullivan,Franklin,Missouri,63080
Sulphur Farmers Market,http://www.sulphur.org,,1015 South Ruth St.,Sulphur,Calcasieu,Louisiana,70664
Summer Nights Market ,http://www.gloucestervillage.com,https://www.facebook.com/GloucesterMainStreet,6539 Main Street ,Gloucester ,Gloucester,Virginia,23061
Summers Tailgate Market,,,Old Otter Holler Farm,Hinton,Summers,West Virginia,24962
Summerside Farmers Market,,,441251 East Historic Rte. 66,Vinita,Craig,Oklahoma,74301
"Summersville Tailgate Market, Inc",http://www.wvfarmers.org/memberpages/summersvilletailgatemarket.html,,"Broad Street, across from Dairy Queen",Summersville,Nicholas,West Virginia,26651
Summerville Farmers' Market,http://www.summerville.sc.us,https://www.facebook.com/pages/Summerville-Farmers-Market/274065862658134,218 South Main Street,Summerville,Dorchester,South Carolina,29483
Summit Farmers Market,http://www.summitdowntown.org,,Maple Street & DeForest Avenue,Summit,Union,New Jersey,7901
Sumter County Farmers Market,,,700 West Liberty Street,Sumter,Sumter,South Carolina,29153
Sumter County Farmers Market,,,524 North Market Boulevard,Webster,Sumter,Florida,33597
Sun City Farmers Market,http://www.gtfma.com,https://www.facebook.com/pages/Georgetown-Farmers-Market-Assoc/195857010450938,2 Texas Drive Georgetown,Georgetown,Williamson,Texas,78633
Sun City Farmers Market,http://www.arizonafarmersmarkets.com,https://www.facebook.com/pages/Sun-City-Farmers-Market/631299790224049,16829 N 99th Aveune,Sun City,Maricopa,Arizona,85351
SUN CITY WEST FARMERS MARKET,http://www.azfarmersmarkets.us,,13815 E camino del Sol,sun city west,Maricopa,Arizona,85375
Sun Prairie Farmers Market,http://www.sunprairiefarmersmarket.com/,https://www.facebook.com/#!/SunPrairieFarmersMarket,East Main andChurch St.,Sun Prairie,Dane,Wisconsin,53590
SUNBIRD GOLF RESORT MARKET,http://www.azfarmersmarkets.us,,6240 S Sunbird Boulevard,Chandler,Maricopa,Arizona,85249
Sunblest,,,10Th Street Modesto,Modesto,Stanislaus,California,
Sunbury Curb Farmers Market,,,225 Market Street,Sunbury,Northumberland,Pennsylvania,17801
Sunbury Market House Farmers Market,,,434 Market Street,Sunbury,Northumberland,Pennsylvania,17801
Sunday Brunch Farmers Market ,,https://www.facebook.com/SundayBrunchFarmersMarket,633 Medway Rd,Charleston,,South Carolina,29412
Sunday Brunch Market,http://growrva.com/,https://www.facebook.com/GrowRVA,2880 Mountain Road,Glen Allen,Henrico,Virginia,23060
Sunday Civic Center Farmers Market,http://www.marinfarmersmarkets.org,,3501 Civic Center Drive,San Fafael,Marin,California,94903
Sunday Farmers Market,,,"500 Block, Main Street",Deer Lodge,Powell,Montana,
Sunday Marin Farmers Market,http://www.agriculturalinstitute.org,https://www.facebook.com/MarinFarmersMarkets,Civic Center Dr,San Rafael,Marin,California,94903
Sunday Market,,,Downtown on 6th and Sherman,Couer d'Alene,Kootenai,Idaho,83814
Sunday Market- Bronx Museum,,,165th Grand Concourse,New York,Bronx,New York,10456
Sunday Putnam Market ,http://www.localharvest.org/sunday-putnam-market-M58716,,760 Route 6 (at Croton Falls Rd),Mahopac,,New York,10541
Sundays on the Island,,,Blanahasset Island,Marshall,Madison,North Carolina,
Sunland Park Ardovino's DC Farmers' Market,http://www.ardovinos.com,https://www.facebook.com/FarmersMarketAtADC,one Ardovino Dr,sunland park,Dona Ana,New Mexico,88063
Sunnyside Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,Skillman - 42 & 43 Sts,Queens,Queens,New York,11104
Sunnyvale Farmers' Market,http://www.urbanvillageonline.com,,Murphy Avenue Between Washington & Evelyn Streets,Sunnyvale,Santa Clara,California,94088
Sunrise County Farmers' Market,,https://www.facebook.com/calaisfarmersmarket,Triangle Park,Calais,Washington,Maine,4619
Sunrise Mall Farmers Market,http://www.bemoneysmartusa.org,https://www.facebook.com/SunriseMallFarmersMarket?fref=ts,6196 Sunrise Boulevard,Citrus Heights,Sacramento,California,95610
Sunrise Station Certified Farmers' Market,http://www.marketlocations.com,,Folsom Blvd & Sunrise Blvd,Rancho Cordova,Sacramento,California,95670
Sunset Marketplace,http://www.themarketcompany.org,,5701 SW 72nd Street,South Miami,Miami-Dade,Florida,33143
Sunset Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,4th Ave - 59 & 60 Sts,Brooklyn,Kings,New York,11220
Sunshine Growers' Market,,,Esplanade Way,"Tallahassee, FL",Leon,Florida,32311
Suntree Marketplace,,www.facebook.com/pages/Suntree-Outdoor-MarketPlace/160818500635273,3280 Suntree Blvd.,Melbourne,Brevard,Florida,32940
Super Farm Market @ Superstition Farm,http://www.SuperstitionFarm.com,https://www.facebook.com/SuperFarmMarket,3440 S. Hawes Rd.,Mesa,Maricopa,Arizona,85212
Superior Downtown Farmers' Market,http://www.superiordowntownfarmersmarket.com,https://www.facebook.com/pages/Superior-Downtown-Farmers-Market/168331959891730,1530 Tower Ave.,Superior,Douglas,Wisconsin,54880
Superior Farm Market,http://www.msue.msu.edu/ontonagon,,900 River Street,Ontonagon,Ontonagon,Michigan,49953
Superstition Ranch Market,http://www.mesa-goodlife.com/SuperstitionRanchMarket.html,,4755 East Main Street,Mesa,Maricopa,Arizona,85205-7907
Surfside Beach Farmers Market,http://www.waccamawmarkets.org,,Intersection of Surfside Drive and Poplar Drive,"Surfside Beach,",Horry,South Carolina,
Surfside Sunset Market,,https://www.facebook.com/SurfsideSunsetMarket,Veteran's Pkwy & Surfside Blvd,Cape Coral ,Lee,Florida,33991
Surprise Valley Saturday Market,http://www.svsaturdaymarket.org,https://www.facebook.com/SVSaturdayMarket,Center Street,Cedarville ,Modoc,California,96104
Surry Farmers Market,,,Courthouse Square,Surry,Surry,Virginia,23883
Sussex County Farmers Market at the Fairgrounds,http://www.sussexcountyboardofagriculture.org,https://www.facebook.com/pages/Sussex-County-Farmers-Market/213069728725366,37 Plains Rd.,Augusta,Sussex,New Jersey,7822
Sustainable Nantucket Famers and Artisans Market,http://www.SustainableNantucket.org,https://www.facebook.com/pages/Sustainable-Nantucket-Farmers-Artisans-Market/93323744428,Downtown at Cambridge & North Union Streets,Nantucket,Nantucket,Massachusetts,2554
Sustainable Westford - Westford Farmers Market,http://www.WestfordFarmersMarket.com,,"Westford Town Common, at the intersections of Main Street, Lincoln Street, and Boston Road.",Westford,Middlesex,Massachusetts,1886
Sutherland Farmers Market,,https://www.facebook.com/daytonafarmersmarket,"HWY 30,",Sutherland,Lincoln,Nebraska,69165
Sutherlin Farmers Market,,https://www.facebook.com/SutherlinFarmersMarket,215 W. Central Avenue,Sutherlin,Douglas,Oregon,97479
Sutter Davis Hospital Farmers Market,http://www.sutterdavis.org/farmersmarket/,https://www.facebook.com/SutterDavisHospital,2000 Sutter Place,Davis,Yolo,California,95616
Sutton Community Senior Center,,,200 South Saunders Avenue,Sutton,Clay,Nebraska,68979
Sutton Tailgate Market,,,,Sutton,Braxton,West Virginia,25063
Suttons Bay Farmers Market,http://www.eatleelanau.org,https://www.facebook.com/pages/Leelanau-Farmers-Markets/133061540053608,Intersection of M-22 & M-204 at Northpark,Suttons Bay,Leelanau,Michigan,49682
Suwanee Farmers Market,http://www.suwanee.com,https://www.facebook.com/pages/City-of-Suwanee-Government/77661866892,370 Highway 23,Suwanee,Gwinnett,Georgia,30024
Suwannee County Farmers Market,,,208 Ohio Avenue,Live Oak,Suwannee,Florida,
Swain County Farmers Market,http://swain.ces.ncsu.edu/swaintailgatefarmersmarket/,https://www.facebook.com/SwainCountyFarmersMarket,"Island Street, downtown Bryson City",Bryson City,Swain,North Carolina,28713
Swampscott Farmers Market,http://swampscottfarmersmarket.org,https://www.facebook.com/SwampscottFarmersMarket,200 Essex Street,Swampscott,Essex,Massachusetts,1907
Swansea Farmer's Market Inc ,http://www.localharvest.org/swansea-farmers-market-inc-M30895,https://www.facebook.com/SwanseaFarmersMarketInc,2801 N Illinois St,Swansea,,Illinois,62226
Swanton Farmer's Market,http://www.swantonohiofarmersmarket.com,,Airport Highway and Hallett,Swanton,Fulton,Ohio,43558
Swanville Farmers' Market,,,Rt. 141/Swan Lake Ave.,Swanville,Waldo,Maine,4915
Swap Meet NOLA,http://www.swapmeetnola.com,https://www.facebook.com/swapmeetnola,3525 Bienville St.,New Orleans ,Orleans,Louisiana,70119
Swarthmore Farmers' Market,http://www.farmtocity.org/FarmersMarkets.asp,https://www.facebook.com/FarmToCity,Dartmouth Avenue near Lafayette Avenue,Swarthmore borough,Delaware,Pennsylvania,19081
Swea City Farmers Market,,,Reynolds Park,Swea City,Kossuth,Iowa,50590
Sweeney's Sweet Corn and Farm Market ,http://www.sweeneysweetcorn.com/,https://www.facebook.com/SweeneysSweetCorn,887 E. Schoolhouse Rd,Kendallville,,Indiana,46755
Sweet Home Farmers Market,http://ww.sweethomefarmersmarket.org,sweet home farmers market,521 Main St,Sweet Home ,Linn,Oregon,97386
Sweet Magnolia Pickins Farmers & Artisans Market ,http://www.sweetmagnoliapickins.net/,https://www.facebook.com/pages/Magnolia-Farmers-Artisans-Market/240268125935,Corner of FM 1774 and FM 1488,Magnolia,,Texas,77354
Sweetwater Local Foods Market,http://sweetwaterlocalfoodsmarket.wordpress.com/,https://www.facebook.com/pages/Sweetwater-Local-Foods-Market/111077177535?ref=ts,6401 Harvey St.,Muskegon,Muskegon,Michigan,49444
Sweetwater Sunday Market,http://www.sweetwater-organic.org,https://www.facebook.com/sundaymarket?ref=hl,6942 W. Comanche Avenue,Tampa,Hillsborough,Florida,33774
Switzerland County Farmers and Artisans Marketplace ,,https://www.facebook.com/pages/Switzerland-County-Farmers-and-Artisans-Marketplace/649252595102544,7110 Innovation Drive,Florence ,Switzerland,Indiana,47020
Switzerland County Farmers Market,,,Courthouse Square on Main,Vevay,Switzerland,Indiana,47043
SWOOM Farmers Market at Atwood Community Gardens,http://www.herbnfarmatl.locallygrown.net,,779 Atwood Street SW,Atlanta,Fulton,Georgia,30310
Sycamore Mall Farmers Market,http://www.sycamoremall.com,,Highway 6 & Sycamore Street,Iowa City,Johnson,Iowa,52240
Sycamore Spring Farm Market,http://www.sycamorespringfarm.org,,6003 Elmer Derr Road,Frederick,Frederick,Maryland,21703
Sylacauga Farmers Market,http://www.SYLACAUGAFARMERSMARKET.ORG,,"423 North Norton Ave, Blue Bell Park",Sylacauga,Talladega,Alabama,35150
Sylvan Beach Farmers Market,,,foot of bridge,Sylvan Beach,Oneida,New York,13157
Syracuse Artisans and Farmers Market,http://www.syracusefarmersmarket.org,www.facebook.com/syracusefarmersmarket,303 W. Henry St.,Syracuse,Kosciusko,Indiana,46567
Syracuse Eastside Neighborhood Farmers Market,,,"Westcott Community Center, 826 Euclid Avenue",Syracuse,Onondaga,New York,13210
Syracuse Farmers Market,http://www.syracuseut.com,,1891 West 1700 South,Syracuse,Davis,Utah,84660
Tacoma Farmers Markets,http://www.tacomafarmersmarket.com,https://www.facebook.com/TacomaFarmersMarket,The STAR Center at S. 66th and Adams,Tacoma,Pierce,Washington,
Tacoma Farmers Markets -  Broadway,http://www.tacomafarmersmarket.com,https://www.facebook.com/TacomaFarmersMarket,South 56th Street & Washington Street,Tacoma,Pierce,Washington,98409
Tacoma Farmers Markets - 6th Avenue,http://www.tacomafarmersmarket.com,https://www.facebook.com/TacomaFarmersMarket,6th & Pine Street,Tacoma,Pierce,Washington,98406
Tacoma Farmers Markets - South Tacoma,http://www.tacomafarmersmarket.com,https://www.facebook.com/TacomaFarmersMarket,Broadway between 9th & 11th Streets,Tacoma,Pierce,Washington,98402
Tahlequah Farmers' Market,http://www.tahlequahfarmersmarket.org,https://www.facebook.com/pages/Tahlequah-Farmers-Market/130367113647973,Norris Park @ Muskogee Ave and Morgan Street.,Tahlequah,Cherokee,Oklahoma,74464
Tahoe City Kings Beach CFM,http://www.foothillfarmersmarket.com,,Kings Beach,Tahoe City,Placer,California,
Tahoe City Thursday CFM,http://www.foothillfarmersmarket.com,,Common's Beach,Tahoe City,Placer,California,96145
Takoma Park Farmers Market,http://www.takomaparkmarket.com,https://www.facebook.com/takomaparkfarmersmarket,Laurel Avenue,Takoma Park,Montgomery,Maryland,20912
Talent Evening Market,http://www.talenteveningmarket.org,https://www.facebook.com/pages/Talent-Evening-Market/120405628041436,110 E Main St,Talent,Jackson,Oregon,97540
Talihina Farmers' Market,http://www.talihinamarket.com,Talihina Farmers' Market,400 2nd Street,Talihina,Le Flore,Oklahoma,74571
Talkeetna Farmers Market,,,13440 E Main Street,Talkeetna,Matanuska-Susitna,Alaska,99676
Talladega Square FM,,,on the square,Talladega,Talladega County,Alabama,
Tallahassee Farmers Market,http://www.downtownmarket.com,,1415 Timberlane Road (1/4 mile North of I-10),Tallahassee,Leon,Florida,
Tallassee Farmers' Market,http://www.tallasseefarmersmarket.com,,3 Freeman Avenue,Tallassee,Tallapoosa,Alabama,36078
Tallulah Farmers Market,,,404 North Cedar St. (Hwy. 65 North),Tallulah,Madison Parish,Louisiana,
Tam Valley Farmers Market,http://www.tcsd.us/index.aspx?page=18&recordid=2214,,219 Shoreline Highway,Mill Valley,,California,94941
Tamworth Famers' Market- Winter Market,,https://www.facebook.com/TamworthFarmersMarket/info,,Tamworth,Belknap,New Hampshire,
Tamworth Farmers' Market,http://www.Tamworthfarmersmarket.org,https://www.facebook.com/TamworthFarmersMarket,30 Tamworth RD,Tamworth,Carroll,New Hampshire,3886
Tanana Valley Farmers Market,http://www.tvfmarket.com,https://www.facebook.com/pages/Tanana-Valley-Farmers-Market/78795645885,2600 College Road,Fairbanks,Fairbanks North Star,Alaska,99709
Taneytown Farmers' Market,,,"Rt. 140, Memorial Park",Taneytown,Carroll,Maryland,21787
Taos Farmers' Market,http://www.taosfarmersmarket.org,,Taos Plaza,Taos,Taos,New Mexico,
Taos Pueblo - Red Willow Farmers' Market,http://www.farmersmarketsnm.org/Shoppers/FindMarket/find.php,,Veteran's Highway,Taos Pueblo,,New Mexico,
Tappahannock Farmers Market,http://www.tappahannockmarket.com/,https://www.facebook.com/TappahannockMarket ,PO Box 1011,Tappahannock,Essex,Virginia,22560
Taqwa Community Farmstand,,,"90 W. 164th St at Ogden Ave, in the garden",Bronx,Bronx,New York,10452
Tarana Farmers Market,http://www.farmernet.com,,19130 Ventura Blvd.,Tarzana,Los Angeles,California,91356
Tarboro-Edgecombe Farmers Market,http://www.edgecombe.ces.ncsu.edu/content/FarmersMarket,,507 Albemarle Avenue,Tarboro,Edgecombe,North Carolina,27886
Target Range Farmers Market,,,4095 South Ave. W,Missoula,Missoula,Montana,59804
Tarkio Farmers' Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=650,,4th and Main Streets,Tarkio,Atchison,Missouri,64491
Tarpon Sunday Market,,,160 East Tarpon Avenue,Tarpon Springs,Pinellas,Florida,34689
Tarrytown Farmers Market,http://www.downtoearthmarkets.com,https://www.facebook.com/DowntoEarthMarkets,Patriot's Park on Rte 9 ,Tarrytown,Westchester,New York,10591
Taste of Tucker Farmers Market,,https://www.facebook.com/tasteoftuckerwv,Riverfront Main Street,Thomas,Tucker,West Virginia,26292
Taste of Tucker Farmers Market - Mill Race Park,,https://www.facebook.com/tasteoftuckerwv?ref=br_tf,Mill Race Park,Parsons,Tucker,West Virginia,26287
Tate County Farmers Market,,,451 Norfleet Drive,Senatobia,Tate,Mississippi,38668
Taunton's Farmers Market,http://www.tauntonfarmersmarket.org/,https://www.facebook.com/tauntonfarmersmarket,,Taunton,Bristol,Massachusetts,2784
Taylor Area Farmers Market Association,,,5th Street and Main Street,Taylor,Williamson,Texas,76574
Taylor County Farmers Market,,,B&O Railroad Depot (museum) parking lot,Grafton,Taylor,West Virginia,26354
Taylor Farmers' Market,http://www.pleinairtaylor.com/farmers.html,,1 Town Square Lane,Taylor,Lafayette,Mississippi,38673
Taylor Town Square Farmers Market,,,Town Square,Taylor,Jackson County,Wisconsin,
Taylor's Farm Market,http://www.taylorfarmsmarket.com,https://www.facebook.com/taylorsfarmmarket,178 Pilgrim st,Inwood,Berkeley,West Virginia,25428
Taylor's Farm Market,http://www.wvagriculture.org,,85 Farmers Market Road,Chapmanville,Logan,West Virginia,25508
Taylorsville Farmers Market Inc.,http://www.ces.ca.uky.edu/spencer/FarmersMarket,,95 Main Street,Taylorsville,Spencer,Kentucky,40071
Taylorsville Farmers Market Inc.,http://www.ces.ca.uky.edu/spencer/FarmersMarket,,"Hwy 155, in front of BP Station",Elk Creek,Spencer,Kentucky,40071
Taylorville Main Street - Farmer's Market,http://www.downtowntaylorville.com,,"Downtown Taylorville, East side of Square",Taylorville,Christian,Illinois,62568
Tazewell Farmers Market,,https://www.facebook.com/tazewellfarmersmarket,106 Gratton Rd,Tazewell,Tazewell,Virginia,24651
TCC North Tulsa Farmers Market,,,"TCC Northeast Campus 3727 East Apache,",Tulsa,Tulsa County,Oklahoma,
TD Saturday Market,http://www.saturdaymarketlive.com ,https://www.facebook.com/saturdaymarket,S. Main St,Greenville,Greenville,South Carolina,29601
Teaneck Farmers' Market,http://www.cedarlane.net,https://www.facebook.com/TeaneckFarmersMarket,Garrison Avenue & Beverly Road,Teaneck,,New Jersey ,
Teche Area Farmers Market,http://www.cityofnewiberia.com,https://www.facebook.com/newiberia.mainstreet,Historic Main Street in downtown New Iberia (Bouligny Plaza),New Iberia,Iberia,Louisiana,70560
Tecumseh Farmers Market,http://www.downstowntecumseh.com,https://www.facebook.com/TecumsehFarmersMarket,W Chicago Blvd. west of Evans St,Tecumseh ,Leelanau,Michigan,49286
Tecumseh's Thursday Evening Market,,,Corner of Evans St. & Chicago Blvd,Tecumseh,Lenawee,Michigan,49286
Tehachapi CFM,,,Green  and S. Robinson Street,Tehachapi,Kern,California,93561
Tell City Farmers Market I,,,Twilight Towers,Tell City,Perry,Indiana,
Telluride Farmers' Market,http://www.thetelluridefarmersmarket.com,https://www.facebook.com/pages/Telluride-Farmers-Market/154932191228871,South Oak St,Telluride,San Miguel,Colorado,81435
Temescal Farmers' Market,http://www.urbanvillageonline.com,,5300 Claremont Avenue,Oakland,Alameda,California,94618
Tempe Community Market,http://www.tempeaction.org/tempecommunitymarket,https://www.facebook.com/tempemarket,620 N. Mill Ave.,Tempe ,Maricopa,Arizona,85281
Tempe Farmers Market,http://www.tempefarmersmarket.com/,https://www.facebook.com/tempefarmersmarket,805 S. Farmer Ave,Tempe,,Arizona,85281
Temple City CFM ,http://WWW.PASADENAFARMERSMARKET.ORG,https://www.facebook.com/pages/Temple-City-Farmers-Market/117101011699239,9701 Las Tunas Blvd,Temple City,Los Angeles,California,91780
Templeton CFM,http://www.northcountyfarmersmarkets.com,,6th St. & Crocker,Templeton,San Luis Obispo,California,93446
Templeton Farmers Market,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,6th & Crocker Streets,Templeton,,Calafornia,93465
Tenino Farmers Market,http://www.teninofarmersmarket.org,www.facebook.com/TeninoFarmersMarket,301 Old Highway 99 North,Tenino ,Thurston,Washington,98589
Tenley Town Farmers Market @ Whole Foods Market,http://www.wholefoodsmarket.com/stores/calendars/TEN.html,,"4530 40th Street, NW",Washington,District of Columbia,District of Columbia,20016
Terra Alta Farmers Market,http://www.wvfarmers.org/memberpages/gardenfreshfarmersmarket.html,,Terra Alta Community Park,Terr Alta,,West Virginia,26764
Terra Local,http://www.terralocal.net/,https://www.facebook.com/terralocal,Park st  and Eagle Street, Geneva,,Ohio,
Teton Valley Farmers Market,,https://www.facebook.com/TetonValleyFarmersMarket,60 So. Main St.,Driggs,Teton,Idaho,83422
"Texarkana, Texas Farmers' Market",http://www.localharvest.org/texarkana-texas-farmers-market-M38382,,305 Texas Boulevard,Texarkana,Bowie,Texas,75501
Texas Township Farmers' Market,http://www.texastownship.org/farmers-market,https://www.facebook.com/TexasTownshipFarmersMarket,7110 West Q Avenue,Kalamazoo,Kalamazoo,Michigan,49009
The 'Whee Farmer's Market,,https://www.facebook.com/CullowheeFarmersMarket?ref=hl,"416 Central Dr, Cullowhee, NC 28723",Cullowhee ,Jackson,North Carolina,28723
The All Natural & Organic Edibles,,,19833 Morris Rd,Harlingen,Cameron,Texas,78552
The Allendale Farmers Market,http://www.allendalechamber.com,https://www.facebook.com/allendalechamberofcommerce,West Allendale Ave. ,Allendale borough,Bergen,New Jersey,7401
The ARA Farm Market,,,854 Barlow Rd.,Lincoln,Alcona,Michigan,48742
The Avenue at White Marsh Farmers Market,http://www.theavenueatwhitemarsh.com/market.php,https://www.facebook.com/TheAvenueAtWhiteMarsh,8125 Honeygo Blvd,Baltimore,,Maryland,21236
The Bad Seed Farmers Market - Winter Market,http://www.badseedkc.com,,1909 McGee,Kansas City,Jackson,Missouri,64108
The Bainbridge Farmers' Market,http://www.thebainbridgefarmersmarket.com,https://www.facebook.com/bainbridgemkt?fref=ts,,Bainbridge,Decatur,Georgia,39817
The Bala Cynwyd Farmers Market,http://www.balacynwydfarmersmarket.weebly.com/,https://www.facebook.com/pages/Bala-Cynwyd-Farmers-Market/126784270685150?ref=ts&fref=ts,Belmont Ave & St Asaphs Rd,Bala Cynwyd,Montgomery,Pennsylvania,19004
The Bernice Garden Farmers' Market,,www.facebook.com/pages/Bernice-Garden-Farmers-Market/192032990911029,1401 Main St.,Little Rock,Pulaski,Arkansas,72202
The Bet on the Farm Farmers Market,http://www.betonthefarm.com,https://www.facebook.com/MoltoVegasFarmersMarket,333 south valley view blvd,Las Vegas,Clark,Nevada,89107
The BLVD Farmers' Market,http://www.cityoflancasterca.org/farmersmarket,,706 W. Lancaster Blvd.,Lancaster,Los Angeles,California,93534
The Boise Farmers Market,http://www.theboisefarmersmarket.com,The Boise Farmers Market,10th & Grove St.,Boise,Ada,Idaho,83701
The Brandermill Green Market,,,3001 E. Boundry Terrace,Midlothian,,Virginia,23112
The Broadway Market,http://www.broadwaymarket.org,,999 Broadway St.,Buffalo,Erie,New York,14212
The Bushel Basket Market: The Farmers Market at Chelsea Community Hospital,http://www.chelseafarmersmkt.org/bushel-basket/,https://www.facebook.com/pages/The-Bushel-Basket-Market-The-Farmers-Market-at-Chelsea-Community-Hospital/536225753067953?ref=hl,"222 S. Main St, Chelsea, MI 48118 (Palmer Lot)",Chelsea,Washtenaw,Michigan,48118
The Carolina Apartments-Seeds of Hope,,,"3201 Meadowlark Dr., , SC",Columbia,Richland,South Carolina,29201
The Carytown Farmers Market,http://www.carytownmarket.com/,https://www.facebook.com/pages/The-Carytown-Farmers-Market/251655224946456?ref=hl,3201 West Cary Street,Richmond ,Richmond City,Virginia,23229
The Central Ozarks Farmers & Artisans Market,,The Central Ozarks Farmers and Artisans Market,On the West side of the square,Harrison,Boone,Arkansas,72601
The Chapel Hill Farmers' Market,http://www.thechapelhillfarmersmarket.com,https://www.facebook.com/TheChapelHillFarmersMarket,201 S. Estes Dr,Chapel Hill,Orange,North Carolina,27514
The Children's Center Farmers Market,,,6800 Northwest 39th Expressway,Bethany,Oklahoma,Oklahoma,73008
The Clarksville Downtown Market,http://www.clarksvilledowntownmarket.com,https://www.facebook.com/pages/Clarksville-Downtown-Market/109810129050478,One Public Square,Clarksville,Montgomery,Tennessee,37040
The Cleveland Flea,http://theclevelandflea.com/,https://www.facebook.com/TheClevelandFlea,1401 East 55th Street,Cleveland ,Cuyahoga,Ohio,
The Coit Road Farmers Market,http://www.coitmarket.org,https://www.facebook.com/CoitRoadFarmersMarket,15000 Woodworth Rd,East Cleveland,Cuyahoga,Ohio,44110
The Commons at Washington Park Farmers Marekt,http://www.Commonscommunity.org,,Washinton & James St.,Newark,Essex,New Jersey,
The Convivium,,https://www.facebook.com/pages/The-Convivium/361569286162,State Rd 1,Leo,Allen,Indiana,46765
The Corner Farmer's Market,http://www.walkerelammarket.com,www.facebook.com/walkerelamcornermarket,2200 Walker Avenue,Greensboro,Guilford,North Carolina,27403
The Cornerstone Market,http://www.tcminc.org,www.healthylives.org,,1095 Allen Road,Greenville,Pitt,North Carolina
The Cumming Harvest,http://www.cumming.locallygrown.net,https://www.facebook.com/thecummingharvest,"106 Colony Park Drive, Suite 100",Cumming,Forsyth,Georgia,30040
The Dalles Farmers' Market,http://www.thedallesfarmersmarket.com,https://www.facebook.com/pages/The-Dalles-Farmers-Market/140134815736,Union Street,The Dalles,Wasco,Oregon,97058
The Davidson Farmers Market,http://www.davidsonfarmersmarket.org,https://www.facebook.com/DavidsonFarmersMarket?fref=ts,Main Street,Davidson,Mecklenburg,North Carolina,28036
The Decatur Farmers Market - Summer,http://www.decaturfarmersmarket.com,,,Decatur,DeKalb,Georgia,30030
The Decatur Farmers Market - Winter,http://www.decaturfarmersmarket.com,,Bullard Road,Decatur,DeKalb,Georgia,30030
The Dirty Farmers Community Market ,http://thedirtyfarmerscommunitymarket.com,https://www.facebook.com/pages/The-Dirty-Farmers-Community-Market/500941319966239,364 Main Street,Clinton,Van Buren,Arkansas,72031
The Dixie Farmers Market,,,116 Commonwealth Avenue,Erlanger,Kenton,Kentucky,41018
The Dorset Farmers Market,http://www.dorsetfarmersmarket.com,https://www.facebook.com/Dorsetfarmersmarket,Rt. 30,Dorset,Bennington,Vermont,5251
The Downtown Mansfield Farmers Market,http://www.downtownmansfield.com/index.php/uplift/farmers-market.html,https://www.facebook.com/DowntownMansfieldFarmersMarket,4 West Fourth Steet,Mansfield ,Richland,Ohio,44902
the Evening Farmers Market,http://www.theeveningfarmersmarket.com,https://www.facebook.com/EveningFarmersMarket,"Pecan Park, Center and Water Streets",Statesville,Iredell,North Carolina,28677
the Evening Farmers Market,http://theeveningfarmersmarket.com,https://www.facebook.com/EveningFarmersMarket,115 Arp Lane,Statesville ,Iredell,North Carolina,28677
The Fallon Depot Farmers' Market,,https://www.facebook.com/FallonDepotFarmersMarket,925 Williams Avenue,Fallon,Churchill,Nevada,89406
THE FARM,http://www.thelasvegasfarm.com,https://www.facebook.com/thelasvegasfarm,7222 W. Grand Teton Drive,Las Vegas,Clark,Nevada,89131
The Farmer's Market at Playwicki Farm,http://lower-southampton-township.org/playwicki-farm/,https://www.facebook.com/PlaywickiFarm,2350 BRIDGETOWN PIKE,Feasterville,,Pennsylvania,19053
The Farmer's Market of Keene,,,,Keene,Cheshire,New Hampshire,3431
The Farmers Market @ St. Stephen's,http://www.saintstephensrichmond.net/farmersmarket,,6000 Grove Avenue,Richmond,Richmond City,Virginia,23226
"The Farmers Market Association of Taylor County, Inc",,,"Highway 210, Animal Shelter Road, Campbellsville",Campbellsville,Taylor,Kentucky,42718
The Farmers Market at Attleboro Farms,http://www.attleborofarms.com,https://www.facebook.com/pages/The-Farmers-Market-at-Attleboro-Farms/159886747368798,"491 Hickory Rd., Rt. 120",North Attleboro,Bristol,Massachusetts,2760
The Farmers Market at Bridgeland,http://www.farmersmarketatbridgeland.org/,https://www.facebook.com/TheFarmersMarketAtBridgeland,16902 Bridgeland Landing,Cypress,,Texas,77433
The Farmers Market at Clear Lake Shores,http://www.farmersmarketatcls.com,https://www.facebook.com/farmersmarketatclearlakeshores,1020 Marina Bay Drive,Clear Lake Shores,Galveston,Texas,77565
